rule_url,title,error
https://resources.allsetlearning.com/chinese/grammar/ASGVME5V,"Adjectives with ""-ji le""",Could not parse zài for pinyin 极了
https://resources.allsetlearning.com/chinese/grammar/ASGII66E,"Using ""always"" as a complaint with ""laoshi""","Rule Using ""always"" as a complaint with ""laoshi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGA8NIB,"Offering choices with ""haishi""","Rule Offering choices with ""haishi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGOUD8U,Approximating with sequential numbers,Rule Approximating with sequential numbers has no word structures
https://resources.allsetlearning.com/chinese/grammar/ASGIM3AX,Big numbers in Chinese,Rule Big numbers in Chinese has no word structures
https://resources.allsetlearning.com/chinese/grammar/ASGMJHZO,"Questions with ""ne""","Rule Questions with ""ne"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG5T7XC,Causative verbs,Rule Causative verbs has no word structures
https://resources.allsetlearning.com/chinese/grammar/ASG11DA8,"Expressing ""through"" with ""jingguo""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASG35T4H,"Expressing ""difficult"" with ""nan""","Rule Expressing ""difficult"" with ""nan"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG9E9A6,"Expressing ""only after"" with ""cai""","Rule Expressing ""only after"" with ""cai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG13ALM,"Expressing ""every"" with question words",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASGQGJXT,"Expressing purpose with ""weile""","Rule Expressing purpose with ""weile"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG7ED89,"Expressing ""some"" with question words","Rule Expressing ""some"" with question words has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGHFPGG,"Expressing ""except"" and ""in addition"" with ""chule… yiwai""","Rule Expressing ""except"" and ""in addition"" with ""chule… yiwai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGGIVT0,"Expressing ""if... then..."" with ""ruguo... jiu...""","Rule Expressing ""if... then..."" with ""ruguo... jiu..."" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGN4VUU,"Expressing ""if"" with ""ruguo... dehua""","Rule Expressing ""if"" with ""ruguo... dehua"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGJFFWG,"Comparing ""gang"" and ""gangcai""","Rule Comparing ""gang"" and ""gangcai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGV55Y4,"Comparing ""youdian"" and ""yidian""","Rule Comparing ""youdian"" and ""yidian"" has no word structures"
