rule_url,title,error
https://resources.allsetlearning.com/chinese/grammar/ASGLEVUV,"Negative adjectives with ""-si le""","Rule Negative adjectives with ""-si le"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG767A2,"Declaring the only option with ""zhihao""","Rule Declaring the only option with ""zhihao"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGD4BA3,"Expressing concern with ""kongpa""","Rule Expressing concern with ""kongpa"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG0D90L,"Expressing the unexpected with ""jingran""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASG8GSXY,"Using ""ye"" and ""dou"" together","Rule Using ""ye"" and ""dou"" together has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGF763H,"Non-exhaustive lists with ""dengdeng""","Rule Non-exhaustive lists with ""dengdeng"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGA0S4T,"A softer ""but"" with ""buguo""","Rule A softer ""but"" with ""buguo"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG4FB55,"Expressing ""and then"" with ""yushi""","Rule Expressing ""and then"" with ""yushi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGD1LNT,"Expressing ""within (it/them)"" with ""qizhong""","Rule Expressing ""within (it/them)"" with ""qizhong"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGI9WXT,"Advanced yes-no questions with ""ma""","Rule Advanced yes-no questions with ""ma"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG5T7XC,Causative verbs,Rule Causative verbs has no word structures
https://resources.allsetlearning.com/chinese/grammar/ASG765HD,"Expressing ""it depends"" with ""kan""","Rule Expressing ""it depends"" with ""kan"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG3ROPY,"Expressing ""it seems"" with ""haoxiang""","Rule Expressing ""it seems"" with ""haoxiang"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGA632B,"Expressing ""lies in"" with ""zaiyu""","Rule Expressing ""lies in"" with ""zaiyu"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGRBC43,"Expressing ""mistakenly think that"" with ""yiwei""","Rule Expressing ""mistakenly think that"" with ""yiwei"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG9B1E3,"Expressing ""through"" with ""tongguo""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASGECD0E,"Expressing ""don't need to"" with ""buyong""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASGA0098,"Indicating negative impact with ""haide""","Rule Indicating negative impact with ""haide"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGEG2QB,"The ""however"" adverb ""que""","Rule The ""however"" adverb ""que"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGG4BX9,"Expressing ""since"" with ""jiran""","Rule Expressing ""since"" with ""jiran"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGSCN01,"Advanced uses of direction complement ""-qilai""","Rule Advanced uses of direction complement ""-qilai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGBPXOB,"Direction complement ""-qilai""","Rule Direction complement ""-qilai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGBUXN7,"Expressing ""even if…"" with ""jishi""","Rule Expressing ""even if…"" with ""jishi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGN4S8O,"Expressing ""if… then…"" with ""yaoshi""","Rule Expressing ""if… then…"" with ""yaoshi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGOWBSL,"Expressing ""all"" with ""suoyou""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASG13ALM,"Expressing ""every"" with question words",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASGCWHNF,"Expressing various aspects with ""yi fangmian""","Rule Expressing various aspects with ""yi fangmian"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGJFFWG,"Comparing ""gang"" and ""gangcai""","Rule Comparing ""gang"" and ""gangcai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG1HNBU,"Comparing ""guanyu"" and ""duiyu""","Rule Comparing ""guanyu"" and ""duiyu"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGLNKZR,"Comparing ""yihou"" and ""de shihou""","Rule Comparing ""yihou"" and ""de shihou"" has no word structures"
